2026-03-17 11:27:10 [INFO   ] EmbedSim.output — EmbedSim init  T=0.04 s  dt=0.0001 s  solver=RK4  log=C:\EmbedSimProject\embed_sim_project\embedsim_log\output_20260317_112710.log
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00016  t=0.001600 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00016  t=0.001650 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00016  t=0.001650 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00016  t=0.001650 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00016  t=0.001650 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00016  t=0.001700 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00016  t=0.001700 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001700 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001700 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001750 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001750 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001750 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001750 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001800 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00017  t=0.001800 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001800 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001800 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001850 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001850 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001850 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001850 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001900 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00018  t=0.001900 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.001900 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.001900 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.001950 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.001950 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.001950 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.001950 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.002000 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00019  t=0.002000 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002000 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002000 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002050 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002050 s  output                          (VectorEnd)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002050 s  3phase_gen                      (ThreePhaseGenerator)
2026-03-17 11:27:10 [DEBUG  ] EmbedSim.output — EXEC   step=00020  t=0.002050 s  output                          (VectorEnd)
